L,T
0.005612613,7.755555556
0.011162162,7.933333333
0.016711712,8.111111111
0.022261261,8.288888889
0.027810811,8.466666667
0.03336036,8.644444444
0.03890991,8.822222222
0.044459459,9
0.050009009,9.185185185
0.055558559,9.355555556
0.061234234,9.548148148
0.066783784,9.711111111
0.072459459,9.888888889
0.077882883,10.05185185
0.083558559,10.21481481
0.089108108,10.37777778
0.094657658,10.54074074
0.100207207,10.68148148
0.105756757,10.84444444
0.111306306,11
0.116855856,11.15555556
0.122405405,11.31111111
0.128081081,11.48148148
0.133630631,11.62222222
0.13918018,11.78518519
0.14472973,11.94814815
0.150405405,12.1037037
